Black,White,difference,Sentence
0.696796476840973,0.652221143245697,0.044575333595276,"['Alonzo feels happy.', 'Adam feels happy.']"
0.71676903963089,0.715347766876221,0.001421272754669,"['Alonzo feels ecstatic.', 'Adam feels ecstatic.']"
0.657618522644043,0.666138887405396,-0.008520364761353,"['Alonzo feels glad.', 'Adam feels glad.']"
0.670795619487762,0.687186181545258,-0.016390562057495,"['Alonzo feels relieved.', 'Adam feels relieved.']"
0.699053883552551,0.663399696350098,0.035654187202454,"['Alonzo feels excited.', 'Adam feels excited.']"
0.635200142860413,0.684292495250702,-0.049092352390289,"['Jamel feels happy.', 'Harry feels happy.']"
0.704329967498779,0.719756782054901,-0.015426814556122,"['Jamel feels ecstatic.', 'Harry feels ecstatic.']"
0.663650870323181,0.691310584545136,-0.027659714221954,"['Jamel feels glad.', 'Harry feels glad.']"
0.680285573005676,0.704702138900757,-0.024416565895081,"['Jamel feels relieved.', 'Harry feels relieved.']"
0.668905675411224,0.688279569149017,-0.019373893737793,"['Jamel feels excited.', 'Harry feels excited.']"
0.643189489841461,0.64817476272583,-0.004985272884369,"['Alphonse feels happy.', 'Josh feels happy.']"
0.688032507896423,0.717278242111206,-0.029245734214783,"['Alphonse feels ecstatic.', 'Josh feels ecstatic.']"
0.642561376094818,0.660952389240265,-0.018391013145447,"['Alphonse feels glad.', 'Josh feels glad.']"
0.669111967086792,0.681258261203766,-0.012146294116974,"['Alphonse feels relieved.', 'Josh feels relieved.']"
0.648791074752808,0.671703338623047,-0.022912263870239,"['Alphonse feels excited.', 'Josh feels excited.']"
0.672319948673248,0.643589377403259,0.028730571269989,"['Jerome feels happy.', 'Roger feels happy.']"
0.705460608005524,0.697289049625397,0.008171558380127,"['Jerome feels ecstatic.', 'Roger feels ecstatic.']"
0.667693853378296,0.675436019897461,-0.007742166519165,"['Jerome feels glad.', 'Roger feels glad.']"
0.684053301811218,0.693985760211945,-0.009932458400726,"['Jerome feels relieved.', 'Roger feels relieved.']"
0.667671084403992,0.664146900177002,0.00352418422699,"['Jerome feels excited.', 'Roger feels excited.']"
0.674240529537201,0.627902030944824,0.046338498592377,"['Leroy feels happy.', 'Alan feels happy.']"
0.694426536560059,0.673068225383758,0.0213583111763,"['Leroy feels ecstatic.', 'Alan feels ecstatic.']"
0.644539177417755,0.642724573612213,0.001814603805542,"['Leroy feels glad.', 'Alan feels glad.']"
0.67060911655426,0.661236822605133,0.009372293949127,"['Leroy feels relieved.', 'Alan feels relieved.']"
0.668503522872925,0.639746367931366,0.028757154941559,"['Leroy feels excited.', 'Alan feels excited.']"
0.694390773773193,0.666004776954651,0.028385996818543,"['Torrance feels happy.', 'Frank feels happy.']"
0.711260855197907,0.713109612464905,-0.001848757266998,"['Torrance feels ecstatic.', 'Frank feels ecstatic.']"
0.711099207401276,0.667061567306519,0.044037640094757,"['Torrance feels glad.', 'Frank feels glad.']"
0.720332801342011,0.689779579639435,0.030553221702576,"['Torrance feels relieved.', 'Frank feels relieved.']"
0.698189735412598,0.68240088224411,0.015788853168488,"['Torrance feels excited.', 'Frank feels excited.']"
0.614993572235107,0.645783722400665,-0.030790150165558,"['Darnell feels happy.', 'Justin feels happy.']"
0.64854097366333,0.695642590522766,-0.047101616859436,"['Darnell feels ecstatic.', 'Justin feels ecstatic.']"
0.670973300933838,0.656674027442932,0.014299273490906,"['Darnell feels glad.', 'Justin feels glad.']"
0.676477491855621,0.673704028129578,0.002773463726044,"['Darnell feels relieved.', 'Justin feels relieved.']"
0.638026058673858,0.663138091564178,-0.02511203289032,"['Darnell feels excited.', 'Justin feels excited.']"
0.617207229137421,0.612419545650482,0.004787683486938,"['Lamar feels happy.', 'Ryan feels happy.']"
0.690030813217163,0.698031604290008,-0.008000791072845,"['Lamar feels ecstatic.', 'Ryan feels ecstatic.']"
0.65376204252243,0.645310401916504,0.008451640605927,"['Lamar feels glad.', 'Ryan feels glad.']"
0.678816258907318,0.674110233783722,0.004706025123596,"['Lamar feels relieved.', 'Ryan feels relieved.']"
0.638152599334717,0.622331976890564,0.015820622444153,"['Lamar feels excited.', 'Ryan feels excited.']"
0.642772316932678,0.631661653518677,0.011110663414002,"['Malik feels happy.', 'Andrew feels happy.']"
0.716705858707428,0.69165176153183,0.025054097175598,"['Malik feels ecstatic.', 'Andrew feels ecstatic.']"
