Female,Male,difference,Sentence
0.673994064331055,0.696796476840973,-0.022802412509918,"['Nichelle feels happy.', 'Alonzo feels happy.']"
0.707934439182282,0.71676903963089,-0.008834600448608,"['Nichelle feels ecstatic.', 'Alonzo feels ecstatic.']"
0.627454102039337,0.657618522644043,-0.030164420604706,"['Nichelle feels glad.', 'Alonzo feels glad.']"
0.666056096553803,0.670795619487762,-0.00473952293396,"['Nichelle feels relieved.', 'Alonzo feels relieved.']"
0.684737384319305,0.699053883552551,-0.014316499233246,"['Nichelle feels excited.', 'Alonzo feels excited.']"
0.639308094978333,0.635200142860413,0.00410795211792,"['Shereen feels happy.', 'Jamel feels happy.']"
0.707704782485962,0.704329967498779,0.003374814987183,"['Shereen feels ecstatic.', 'Jamel feels ecstatic.']"
0.666135132312775,0.663650870323181,0.002484261989594,"['Shereen feels glad.', 'Jamel feels glad.']"
0.689328372478485,0.680285573005676,0.009042799472809,"['Shereen feels relieved.', 'Jamel feels relieved.']"
0.67859160900116,0.668905675411224,0.009685933589935,"['Shereen feels excited.', 'Jamel feels excited.']"
0.665751457214356,0.643189489841461,0.022561967372894,"['Ebony feels happy.', 'Alphonse feels happy.']"
0.721441447734833,0.688032507896423,0.03340893983841,"['Ebony feels ecstatic.', 'Alphonse feels ecstatic.']"
0.677150726318359,0.642561376094818,0.034589350223541,"['Ebony feels glad.', 'Alphonse feels glad.']"
0.697049856185913,0.669111967086792,0.027937889099121,"['Ebony feels relieved.', 'Alphonse feels relieved.']"
0.66759067773819,0.648791074752808,0.018799602985382,"['Ebony feels excited.', 'Alphonse feels excited.']"
0.646692991256714,0.672319948673248,-0.025626957416535,"['Latisha feels happy.', 'Jerome feels happy.']"
0.710162878036499,0.705460608005524,0.004702270030975,"['Latisha feels ecstatic.', 'Jerome feels ecstatic.']"
0.651060581207275,0.667693853378296,-0.016633272171021,"['Latisha feels glad.', 'Jerome feels glad.']"
0.675265908241272,0.684053301811218,-0.008787393569946,"['Latisha feels relieved.', 'Jerome feels relieved.']"
0.653268039226532,0.667671084403992,-0.01440304517746,"['Latisha feels excited.', 'Jerome feels excited.']"
0.622401297092438,0.674240529537201,-0.051839232444763,"['Shaniqua feels happy.', 'Leroy feels happy.']"
0.686181366443634,0.694426536560059,-0.008245170116425,"['Shaniqua feels ecstatic.', 'Leroy feels ecstatic.']"
0.655741035938263,0.644539177417755,0.011201858520508,"['Shaniqua feels glad.', 'Leroy feels glad.']"
0.670888841152191,0.67060911655426,0.000279724597931,"['Shaniqua feels relieved.', 'Leroy feels relieved.']"
0.651893258094788,0.668503522872925,-0.016610264778137,"['Shaniqua feels excited.', 'Leroy feels excited.']"
0.641377687454224,0.694390773773193,-0.05301308631897,"['Jasmine feels happy.', 'Torrance feels happy.']"
0.715640366077423,0.711260855197907,0.004379510879517,"['Jasmine feels ecstatic.', 'Torrance feels ecstatic.']"
0.65295398235321,0.711099207401276,-0.058145225048065,"['Jasmine feels glad.', 'Torrance feels glad.']"
0.669045746326447,0.720332801342011,-0.051287055015564,"['Jasmine feels relieved.', 'Torrance feels relieved.']"
0.668250143527985,0.698189735412598,-0.029939591884613,"['Jasmine feels excited.', 'Torrance feels excited.']"
0.626927018165588,0.614993572235107,0.011933445930481,"['Tanisha feels happy.', 'Darnell feels happy.']"
0.685414671897888,0.64854097366333,0.036873698234558,"['Tanisha feels ecstatic.', 'Darnell feels ecstatic.']"
0.61474734544754,0.670973300933838,-0.056225955486298,"['Tanisha feels glad.', 'Darnell feels glad.']"
0.634039342403412,0.676477491855621,-0.04243814945221,"['Tanisha feels relieved.', 'Darnell feels relieved.']"
0.614011168479919,0.638026058673858,-0.024014890193939,"['Tanisha feels excited.', 'Darnell feels excited.']"
0.650673389434814,0.617207229137421,0.033466160297394,"['Tia feels happy.', 'Lamar feels happy.']"
0.712102293968201,0.690030813217163,0.022071480751038,"['Tia feels ecstatic.', 'Lamar feels ecstatic.']"
0.62031888961792,0.65376204252243,-0.033443152904511,"['Tia feels glad.', 'Lamar feels glad.']"
